Range (km),Battery Level (%),Latitude (°),Longitude (°),Speed (km/h),Maintenance Cost ($),Charging Cost ($),Pin Code,Working Condition,Charging Status,Energy Consumed (kWh),Fast Charge Speed (kW),Date,dvr,Make,mgr,Acceleration 0 - 100 km/h,Top Speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,km
372.63,83,15.696624,82.239437,79,274,35,349338,1,0,55.8945,114,2023-02-09,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,165350.0
372.63,83,15.696624,82.239437,140,274,35,349338,1,0,55.8945,114,2023-02-09,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,162476.0
239.44,59,9.718853,74.786144,79,280,17,186774,1,1,35.916,128,2023-09-02,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,111369.0
239.44,59,9.718853,74.786144,140,280,17,186774,1,1,35.916,128,2023-09-02,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,112361.0
47.32,19,21.816869,70.439818,79,234,28,664098,1,0,7.098,74,2023-09-24,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,31137.0
47.32,19,21.816869,70.439818,140,234,28,664098,1,0,7.098,74,2023-09-24,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,33708.0
55.23,23,30.594909,95.172457,79,204,17,393571,1,1,8.2845,104,2023-04-10,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,33303.0
55.23,23,30.594909,95.172457,140,204,17,393571,1,1,8.2845,104,2023-04-10,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,38567.0
159.74,41,17.373099,82.97032800000002,79,299,34,331721,1,0,23.961,136,2023-05-20,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,81790.0
159.74,41,17.373099,82.97032800000002,140,299,34,331721,1,0,23.961,136,2023-05-20,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,76524.0
146.88,39,12.007574,73.323475,79,194,38,606262,1,1,22.032,50,2023-07-21,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,69371.0
146.88,39,12.007574,73.323475,140,194,38,606262,1,1,22.032,50,2023-07-21,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,68391.0
433.72,95,33.051679,70.294448,79,219,6,206562,1,1,65.058,146,2023-07-14,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,189389.0
433.72,95,33.051679,70.294448,140,219,6,206562,1,1,65.058,146,2023-07-14,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,182227.0
260.44,60,14.264554,70.794901,79,129,36,222131,1,1,39.066,116,2023-10-09,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,114314.0
260.44,60,14.264554,70.794901,140,129,36,222131,1,1,39.066,116,2023-10-09,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,119976.0
111.05,31,9.813763,84.091268,79,60,28,652083,1,1,16.6575,128,2023-08-04,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,57450.0
111.05,31,9.813763,84.091268,140,60,28,652083,1,1,16.6575,128,2023-08-04,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,56707.0
154.9,41,9.611538,75.0383,79,300,25,643836,1,1,23.235,88,2023-08-01,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,80668.0
154.9,41,9.611538,75.0383,140,300,25,643836,1,1,23.235,88,2023-08-01,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,74842.0
362.98,81,10.892748,85.435428,79,63,17,311581,1,1,54.447,62,2023-10-06,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,162130.0
362.98,81,10.892748,85.435428,140,63,17,311581,1,1,54.447,62,2023-10-06,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,158630.0
36.18,20,28.636276,86.83202299999998,79,296,19,723291,1,1,5.4270000000000005,55,2023-06-25,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,31890.0
36.18,20,28.636276,86.83202299999998,140,296,19,723291,1,1,5.4270000000000005,55,2023-06-25,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,30440.0
414.89,92,35.247957,91.724618,79,101,6,477040,1,1,62.23349999999999,98,2023-09-17,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,183026.0
414.89,92,35.247957,91.724618,140,101,6,477040,1,1,62.23349999999999,98,2023-09-17,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,183129.0
123.28,36,36.387427,68.499602,79,129,9,310473,1,1,18.492,63,2023-01-17,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,68076.0
123.28,36,36.387427,68.499602,140,129,9,310473,1,1,18.492,63,2023-01-17,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,65371.0
112.46,31,23.826851,77.59703499999998,79,162,35,342495,1,1,16.869,128,2023-03-11,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,61347.0
112.46,31,23.826851,77.59703499999998,140,162,35,342495,1,1,16.869,128,2023-03-11,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,60017.0
413.69,91,35.829804,86.60884300000002,79,112,34,295807,1,0,62.0535,119,2023-08-04,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,181869.0
413.69,91,35.829804,86.60884300000002,140,112,34,295807,1,0,62.0535,119,2023-08-04,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,175075.0
277.06,66,34.26473,80.954033,79,147,12,923589,1,1,41.559,119,2023-09-18,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,119423.0
277.06,66,34.26473,80.954033,140,147,12,923589,1,1,41.559,119,2023-09-18,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,129068.0
446.11,98,24.374666,68.708271,79,251,32,339751,1,1,66.9165,118,2023-12-23,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,192786.0
446.11,98,24.374666,68.708271,140,251,32,339751,1,1,66.9165,118,2023-12-23,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,187210.0
101.22,31,32.512492,86.098164,79,175,37,612770,1,1,15.183,60,2023-10-11,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,50105.0
101.22,31,32.512492,86.098164,140,175,37,612770,1,1,15.183,60,2023-10-11,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,55353.0
224.71,54,35.502314,71.711444,79,225,22,594300,1,0,33.7065,74,2023-06-10,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,98929.0
224.71,54,35.502314,71.711444,140,225,22,594300,1,0,33.7065,74,2023-06-10,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,104959.0
351.01,79,10.410395,74.455084,79,79,29,278317,1,1,52.6515,132,2023-03-19,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,155951.0
351.01,79,10.410395,74.455084,140,79,29,278317,1,1,52.6515,132,2023-03-19,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,158137.0
434.79,96,18.236666,81.11722900000002,79,266,18,350336,1,0,65.2185,94,2023-02-22,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,186176.0
434.79,96,18.236666,81.11722900000002,140,266,18,350336,1,0,65.2185,94,2023-02-22,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,182361.0
233.09,57,29.618761,84.765284,79,70,25,177722,1,0,34.9635,66,2023-11-10,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,108223.0
233.09,57,29.618761,84.765284,140,70,25,177722,1,0,34.9635,66,2023-11-10,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,105614.0
104.35,32,25.10395,91.559731,79,99,29,640976,1,1,15.652499999999998,129,2023-04-19,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,58066.0
104.35,32,25.10395,91.559731,140,99,29,640976,1,1,15.652499999999998,129,2023-04-19,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,51325.0
300.76,68,36.293548,78.565078,79,230,20,633194,1,1,45.114,85,2023-07-30,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,138622.0
300.76,68,36.293548,78.565078,140,230,20,633194,1,1,45.114,85,2023-07-30,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,132243.0
178.49,44,27.094573,71.07366400000002,79,101,19,713664,1,1,26.7735,113,2023-04-16,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,87855.0
178.49,44,27.094573,71.07366400000002,140,101,19,713664,1,1,26.7735,113,2023-04-16,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,89155.0
270.55,62,18.238909,94.552155,79,108,9,357852,1,1,40.5825,130,2023-04-20,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,123153.0
270.55,62,18.238909,94.552155,140,108,9,357852,1,1,40.5825,130,2023-04-20,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,125955.0
395.77,88,29.727970000000006,76.775515,79,163,35,418072,1,1,59.3655,100,2023-01-29,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,173861.0
395.77,88,29.727970000000006,76.775515,140,163,35,418072,1,1,59.3655,100,2023-01-29,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,173162.0
321.54,74,15.585298000000002,84.052274,79,55,36,522125,1,1,48.231,111,2023-07-08,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,140028.0
321.54,74,15.585298000000002,84.052274,140,55,36,522125,1,1,48.231,111,2023-07-08,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,139146.0
41.05,19,36.666191,79.984452,79,128,19,288857,1,0,6.1575,90,2023-07-25,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,34369.0
41.05,19,36.666191,79.984452,140,128,19,288857,1,0,6.1575,90,2023-07-25,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,31233.0
192.91,50,26.819237,82.581172,79,87,20,980850,1,0,28.9365,95,2023-05-05,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,92177.0
192.91,50,26.819237,82.581172,140,87,20,980850,1,0,28.9365,95,2023-05-05,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,91600.0
81.56,28,17.79443,68.520229,79,234,37,616811,1,1,12.234000000000002,92,2023-11-22,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,43753.0
81.56,28,17.79443,68.520229,140,234,37,616811,1,1,12.234000000000002,92,2023-11-22,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,45759.0
391.14,86,35.065396,76.186033,79,135,6,195820,1,1,58.67099999999999,149,2023-09-11,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,168713.0
391.14,86,35.065396,76.186033,140,135,6,195820,1,1,58.67099999999999,149,2023-09-11,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,167796.0
178.5,47,15.459556,94.488642,79,146,16,763971,1,0,26.775,64,2023-05-18,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,85945.0
178.5,47,15.459556,94.488642,140,146,16,763971,1,0,26.775,64,2023-05-18,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,80794.0
214.68,52,11.012056,73.193549,79,190,26,393327,1,1,32.202,93,2023-04-22,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,104672.0
214.68,52,11.012056,73.193549,140,190,26,393327,1,1,32.202,93,2023-04-22,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,103472.0
324.1,73,30.458436,83.701778,79,254,28,838705,1,1,48.615,109,2023-10-02,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,146766.0
324.1,73,30.458436,83.701778,140,254,28,838705,1,1,48.615,109,2023-10-02,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,138114.0
306.84,69,9.422534,95.750814,79,281,23,859342,1,0,46.026,124,2023-01-05,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,137518.0
306.84,69,9.422534,95.750814,140,281,23,859342,1,0,46.026,124,2023-01-05,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,135908.0
98.67,30,31.232721,86.70203000000002,79,295,22,812258,1,1,14.8005,68,2023-07-25,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,54332.0
98.67,30,31.232721,86.70203000000002,140,295,22,812258,1,1,14.8005,68,2023-07-25,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,55853.0
182.52,45,32.084007,93.153094,79,265,9,464484,1,1,27.378,137,2023-10-05,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,88136.0
182.52,45,32.084007,93.153094,140,265,9,464484,1,1,27.378,137,2023-10-05,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,86235.0
91.41,28,34.385693,85.980189,79,263,14,660727,1,0,13.7115,112,2023-08-22,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,49324.0
91.41,28,34.385693,85.980189,140,263,14,660727,1,0,13.7115,112,2023-08-22,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,53301.0
200.43,51,36.019382,74.628612,79,290,39,770418,1,1,30.0645,70,2023-10-02,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,90211.0
200.43,51,36.019382,74.628612,140,290,39,770418,1,1,30.0645,70,2023-10-02,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,98335.0
458.71,100,20.318028,70.751498,79,265,8,726958,1,1,68.8065,64,2023-09-14,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,195931.0
458.71,100,20.318028,70.751498,140,265,8,726958,1,1,68.8065,64,2023-09-14,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,194986.0
252.45,60,17.826613000000005,80.953579,79,213,11,109832,1,0,37.8675,94,2023-05-27,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,110288.0
252.45,60,17.826613000000005,80.953579,140,213,11,109832,1,0,37.8675,94,2023-05-27,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,117656.0
136.59,37,10.167514,94.295347,79,272,23,252201,1,1,20.4885,117,2023-01-20,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,70497.0
136.59,37,10.167514,94.295347,140,272,23,252201,1,1,20.4885,117,2023-01-20,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,72301.0
50.1,22,33.26741,68.13221899999999,79,195,30,956286,1,1,7.515,135,2023-04-02,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,30982.0
50.1,22,33.26741,68.13221899999999,140,195,30,956286,1,1,7.515,135,2023-04-02,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,35443.0
51.48,22,30.357919,76.953503,79,299,26,452245,1,1,7.721999999999999,105,2023-08-10,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,38184.0
51.48,22,30.357919,76.953503,140,299,26,452245,1,1,7.721999999999999,105,2023-08-10,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,39013.0
79.0,26,23.297104,74.027263,79,63,18,177350,1,1,11.85,53,2023-11-02,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,49690.0
79.0,26,23.297104,74.027263,140,63,18,177350,1,1,11.85,53,2023-11-02,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,46347.0
364.39,81,23.428189,77.94710500000002,79,148,8,759379,1,0,54.6585,73,2023-10-08,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,163602.0
364.39,81,23.428189,77.94710500000002,140,148,8,759379,1,0,54.6585,73,2023-10-08,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,161100.0
154.16,39,33.216460999999995,84.33849000000002,79,179,22,745500,1,1,23.124,120,2023-08-23,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,80265.0
154.16,39,33.216460999999995,84.33849000000002,140,179,22,745500,1,1,23.124,120,2023-08-23,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,73131.0
222.08,53,24.178125,77.72568000000003,79,69,24,647993,1,0,33.312,53,2023-08-04,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,99194.0
222.08,53,24.178125,77.72568000000003,140,69,24,647993,1,0,33.312,53,2023-08-04,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,101448.0
